,display_name,Crowdfunding,Lien,Don,Nb Tipers,Temps
0,ScienceEtonnante,['tipeee'],https://www.tipeee.com/science-etonnante,[],446,2022-04-18 20:20:45.322121
1,Kriss Papillon,['tipeee'],https://www.tipeee.com/kriss,"€1,322",300,2022-04-18 20:20:52.406001
2,MaxEstLa,['tipeee'],https://www.tipeeestream.com/maxestla/donation,[],[],2022-04-18 20:20:57.873863
3,Caljbeut,['tipeee'],https://www.tipeee.com/caljbeut-cartoons-trashs,€215,64,2022-04-18 20:21:04.892264
4,Laupok,['tipeee'],https://www.tipeee.com/laupok,[],[],2022-04-18 20:21:11.657053
5,Chocmiel,['tipeee'],http://tipeee.com/chocmiel,€0,0,2022-04-18 20:21:17.874274
6,Absol Vidéos,['tipeee'],https://www.tipeee.com/absol-videos,€79,36,2022-04-18 20:21:26.100317
7,Hygiène Mentale,['tipeee'],https://www.tipeee.com/hygiene-mentale,€913,361,2022-04-18 20:21:34.306147
8,Victor Ferry,['tipeee'],https://www.tipeee.com/l-artisanat-rhetorique,€219,65,2022-04-18 20:21:40.627130
9,Dan Field,['tipeee'],https://www.tipeee.com/danfield,€131,25,2022-04-18 20:21:46.961613
10,Linguisticae,['tipeee'],https://www.tipeee.com/linguisticae,€613,243,2022-04-18 20:21:54.141163
11,horror humanum est,['tipeee'],https://www.tipeee.com/h2e,[],[],2022-04-18 20:21:59.837813
12,Le Radis Irradié,['tipeee'],https://www.tipeee.com/le-radis-irradie,[],[],2022-04-18 20:22:05.477612
13,ALT 236,['tipeee'],https://www.tipeee.com/alt236,"€1,242",265,2022-04-18 20:22:11.430721
14,Partager C'est Sympa,['tipeee'],https://tipeee.com/partager-cest-sympa,"€4,534",781,2022-04-18 20:22:17.245826
15,Monsieur Phi,['tipeee'],https://www.tipeee.com/monsieurphi,"€1,119",344,2022-04-18 20:22:23.813230
16,Bronol,['tipeee'],https://fr.tipeee.com/bronol,60 €,17,2022-04-18 20:22:29.690835
17,Mind Parachutes,['tipeee'],http://www.tipeee.com/mind-parachutes,€8,7,2022-04-18 20:22:35.420580
18,SpaceBabiesTV - La chaîne des Parodies,['tipeee'],https://fr.tipeee.com/spacebabiestv,5 €,1,2022-04-18 20:22:41.243910
19,Bugland,['tipeee'],https://fr.tipeee.com/bugland,5 €,1,2022-04-18 20:22:47.647596
20,Echecs - Blitzstream,['tipeee'],https://www.tipeee.com/blitzstream,[],15,2022-04-18 20:22:53.426882
21,Rockstar Mag',['tipeee'],https://www.tipeee.com/rockstar-mag,€0,0,2022-04-18 20:22:59.352223
22,Le Tropeur,['tipeee'],https://www.tipeee.com/tropeur,€277,54,2022-04-18 20:23:05.573259
23,Jake - The Korean Dream,['tipeee'],https://fr.tipeee.com/the-korean-dream,[],10,2022-04-18 20:23:11.422125
24,Le Journal de l'Espace,['tipeee'],https://fr.tipeee.com/le-journal-de-lespace,126 €,36,2022-04-18 20:23:17.070611
25,DanyCaligula,['tipeee'],https://www.tipeee.com/danycaligula/,€282,64,2022-04-18 20:23:22.864841
26,Cookie connecté,['tipeee'],https://www.tipeee.com/cookie-connecte,€6,5,2022-04-18 20:23:28.605675
27,Apokalypt,['tipeee'],https://en.tipeee.com/mod-glitch,€0,0,2022-04-18 20:23:34.325588
28,CINEASTUCES,['tipeee'],http://www.tipeee.com/cineastuces,€13,4,2022-04-18 20:23:47.198445
29,Game Next Door,['tipeee'],https://www.tipeee.com/game-next-door,"€1,027",312,2022-04-18 20:23:55.175514
30,Mad Dog,['tipeee'],https://fr.tipeee.com/mad-dog,88 €,22,2022-04-18 20:24:01.617399
31,Maître Luger,['tipeee'],https://www.tipeee.com/maitre-luger,€83,25,2022-04-18 20:24:07.442220
32,Le paranormal du 24,['tipeee'],https://www.tipeee.com/leparanormaldu24,€30,2,2022-04-18 20:24:13.344214
33,Passe-Science,['tipeee'],https://www.tipeee.com/passe-science,€109,41,2022-04-18 20:24:19.359725
34,UnDropDansLaMare,['tipeee'],https://www.tipeee.com/undropdanslamare,[],[],2022-04-18 20:24:25.597772
